"","bet","odds","datetime","url","bet.subject","time.of.day","numerator.bet","denominator.bet","probability","date","country"
"1","Leave","7/4","2016-01-01T19:54:56Z","https://web.archive.org/web/20160101195456/http://www.oddschecker.com:80/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,7,4,0.363636363636364,2016-01-01,"United Kingdom"
"2","Remain","8/15","2016-01-01T19:54:56Z","https://web.archive.org/web/20160101195456/http://www.oddschecker.com:80/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,8,15,0.652173913043478,2016-01-01,"United Kingdom"
"3","Leave","7/4","2016-01-04T21:23:03Z","https://web.archive.org/web/20160104212303/http://www.oddschecker.com:80/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,7,4,0.363636363636364,2016-01-04,"United Kingdom"
"4","Remain","8/15","2016-01-04T21:23:03Z","https://web.archive.org/web/20160104212303/http://www.oddschecker.com:80/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,8,15,0.652173913043478,2016-01-04,"United Kingdom"
"5","Leave","2/1","2016-01-20T02:47:41Z","https://web.archive.org/web/20160120024741/http://www.oddschecker.com:80/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,2,1,0.333333333333333,2016-01-20,"United Kingdom"
"6","Remain","2/5","2016-01-20T02:47:41Z","https://web.archive.org/web/20160120024741/http://www.oddschecker.com:80/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,2,5,0.714285714285714,2016-01-20,"United Kingdom"
"7","Leave","2/1","2016-01-24T14:12:42Z","https://web.archive.org/web/20160124141242/http://www.oddschecker.com/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,2,1,0.333333333333333,2016-01-24,"United Kingdom"
"8","Remain","2/5","2016-01-24T14:12:42Z","https://web.archive.org/web/20160124141242/http://www.oddschecker.com/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,2,5,0.714285714285714,2016-01-24,"United Kingdom"
"9","Leave","5/2","2016-02-04T18:04:57Z","https://web.archive.org/web/20160204180457/http://www.oddschecker.com:80/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,5,2,0.285714285714286,2016-02-04,"United Kingdom"
"10","Remain","1/3","2016-02-04T18:04:57Z","https://web.archive.org/web/20160204180457/http://www.oddschecker.com:80/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,1,3,0.75,2016-02-04,"United Kingdom"
"11","Leave","2/1","2016-02-17T12:16:04Z","https://web.archive.org/web/20160217121604/http://www.oddschecker.com:80/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,2,1,0.333333333333333,2016-02-17,"United Kingdom"
"12","Remain","2/5","2016-02-17T12:16:04Z","https://web.archive.org/web/20160217121604/http://www.oddschecker.com:80/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,2,5,0.714285714285714,2016-02-17,"United Kingdom"
"13","Leave","2/1","2016-02-17T22:10:39Z","https://web.archive.org/web/20160217221039/http://www.oddschecker.com/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,2,1,0.333333333333333,2016-02-17,"United Kingdom"
"14","Remain","2/5","2016-02-17T22:10:39Z","https://web.archive.org/web/20160217221039/http://www.oddschecker.com/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,2,5,0.714285714285714,2016-02-17,"United Kingdom"
"15","Remain","1/3","2016-02-20T23:28:36Z","https://web.archive.org/web/20160220232836/http://www.oddschecker.com:80/politics/british-politics/eu-referendum/referendum-on-eu-membership-result?","referendum-on-eu-membership-result, eu-referendum",NA,1,3,0.75,2016-02-20,"United Kingdom"
"16","Leave","5/2","2016-02-20T23:28:36Z","https://web.archive.org/web/20160220232836/http://www.oddschecker.com:80/politics/british-politics/eu-referendum/referendum-on-eu-membership-result?","referendum-on-eu-membership-result, eu-referendum",NA,5,2,0.285714285714286,2016-02-20,"United Kingdom"
"17","Remain","1/3","2016-02-21T09:22:02Z","https://web.archive.org/web/20160221092202/http://www.oddschecker.com:80/politics/british-politics/eu-referendum/referendum-on-eu-membership-result?","referendum-on-eu-membership-result, eu-referendum",NA,1,3,0.75,2016-02-21,"United Kingdom"
"18","Leave","5/2","2016-02-21T09:22:02Z","https://web.archive.org/web/20160221092202/http://www.oddschecker.com:80/politics/british-politics/eu-referendum/referendum-on-eu-membership-result?","referendum-on-eu-membership-result, eu-referendum",NA,5,2,0.285714285714286,2016-02-21,"United Kingdom"
"19","Remain","2/5","2016-02-24T18:40:13Z","https://web.archive.org/web/20160224184013/http://www.oddschecker.com/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,2,5,0.714285714285714,2016-02-24,"United Kingdom"
"20","Leave","9/4","2016-02-24T18:40:13Z","https://web.archive.org/web/20160224184013/http://www.oddschecker.com/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,9,4,0.307692307692308,2016-02-24,"United Kingdom"
"21","Remain","2/5","2016-02-24T22:31:48Z","https://web.archive.org/web/20160224223148/http://www.oddschecker.com/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,2,5,0.714285714285714,2016-02-24,"United Kingdom"
"22","Leave","9/4","2016-02-24T22:31:48Z","https://web.archive.org/web/20160224223148/http://www.oddschecker.com/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,9,4,0.307692307692308,2016-02-24,"United Kingdom"
